symbol,Country,Filter_Type,Prob%,AvgWin%,AvgLoss%,RR_Ratio,Count,Mentor_Score,Position_Size_Pct,Stop_Loss_Pct,Take_Profit_Pct
PTTEP,TH,STRICT,75.0,4.04,0.96,4.21,40,99.31,3.0,1.44,3.232
DOHOME,TH,STRICT,69.7,2.95,0.86,3.44,66,83.66000000000001,2.278080760095012,1.29,2.3600000000000003
TPIPP,TH,STRICT,68.8,1.19,0.51,2.32,215,63.679999999999986,1.5165415676959622,0.765,0.952
BCH,TH,BALANCED,62.1,1.97,1.17,1.69,438,51.78999999999999,0.9971401425178146,1.755,1.576
CPF,TH,HIGH_PROB,67.8,1.42,0.9,1.57,740,51.71000000000001,1.0113634204275535,1.35,1.136
SNNP,TH,HIGH_PROB,66.7,1.29,0.82,1.58,21,51.32000000000001,1.0012921615201902,1.23,1.032
BTS,TH,BALANCED,64.6,1.51,0.96,1.57,2630,50.49,0.9636294536817103,1.44,1.2080000000000002
LH,TH,THAI_MARKET,61.3,1.4,0.85,1.65,1369,50.36999999999999,0.9609976247030879,1.275,1.1199999999999999
BEM,TH,THAI_MARKET,61.3,1.41,0.87,1.62,1278,49.9,0.9435249406175774,1.305,1.128
GFPT,TH,BALANCED,63.5,1.77,1.17,1.52,353,49.400000000000006,0.9170546318289786,1.755,1.4160000000000001
BDMS,TH,THAI_MARKET,63.8,1.32,0.86,1.53,1963,49.39,0.9274489311163894,1.29,1.056
QH,TH,THAI_MARKET,62.3,1.47,0.97,1.52,763,48.72,0.8997244655581946,1.455,1.176
BPP,TH,BALANCED,58.5,1.67,1.04,1.6,265,48.66000000000001,0.8893111638954869,1.56,1.336
ZM,US,US_MARKET,57.1,1.84,1.14,1.61,35,48.39000000000001,0.8734536817102138,1.71,1.4720000000000002
PTT,TH,THAI_MARKET,59.5,1.37,0.87,1.57,504,48.35,0.8875534441805226,1.305,1.096
KTB,TH,THAI_MARKET,61.4,1.48,0.98,1.51,469,48.21,0.8808931116389549,1.47,1.184
BYD,TH,HIGH_PROB,68.6,5.09,4.08,1.25,490,48.209999999999994,0.8147268408551069,6.12,4.072
TQM,TH,THAI_MARKET,64.2,2.14,1.52,1.41,318,48.07,0.8600665083135393,2.2800000000000002,1.7120000000000002
BGRIM,TH,THAI_MARKET,64.8,2.07,1.5,1.38,349,47.760000000000005,0.8496342042755343,2.25,1.656
MDLZ,US,HIGH_PROB,65.2,1.54,1.13,1.36,23,47.300000000000004,0.8424893111638956,1.6949999999999998,1.2320000000000002
BJC,TH,QUALITY,61.5,1.68,1.17,1.43,1802,47.06999999999999,0.8355819477434678,1.755,1.344
HMPRO,TH,QUALITY,63.0,1.62,1.17,1.38,1874,46.80000000000001,0.8260332541567695,1.755,1.2960000000000003
RATCH,TH,THAI_MARKET,60.1,1.36,0.94,1.45,2043,46.63,0.8279809976247031,1.41,1.088
CBG,TH,QUALITY,60.4,1.93,1.36,1.42,280,46.599999999999994,0.8148978622327789,2.04,1.544
OR,TH,QUALITY,63.3,1.7,1.26,1.35,638,46.449999999999996,0.8119239904988124,1.8900000000000001,1.36
TTB,TH,QUALITY,63.9,1.6,1.22,1.32,202,46.120000000000005,0.8014061757719715,1.83,1.2800000000000002
THANI,TH,THAI_MARKET,63.7,2.14,1.65,1.3,80,45.96000000000001,0.7867933491686461,2.4749999999999996,1.7120000000000002
CK,TH,QUALITY,62.8,1.73,1.31,1.32,247,45.760000000000005,0.7876104513064132,1.965,1.3840000000000001
BCP,TH,QUALITY,60.9,1.84,1.36,1.35,302,45.57,0.7811401425178147,2.04,1.4720000000000002
SPRC,TH,THAI_MARKET,60.2,2.18,1.62,1.35,93,45.449999999999996,0.7721615201900238,2.43,1.7440000000000002
AP,TH,THAI_MARKET,61.2,2.56,1.95,1.31,67,45.35000000000001,0.761729216152019,2.925,2.048
ADVANC,TH,THAI_MARKET,58.7,1.22,0.86,1.41,2007,45.35,0.7863847980997625,1.29,0.976
SCC,TH,THAI_MARKET,60.3,1.4,1.03,1.36,877,45.26,0.7791733966745844,1.545,1.1199999999999999
TU,TH,THAI_MARKET,61.4,1.43,1.08,1.32,321,45.06,0.7700522565320664,1.62,1.144
AWC,TH,QUALITY,61.2,1.85,1.42,1.3,1198,44.84,0.7559144893111639,2.13,1.4800000000000002
TKS,TH,THAI_MARKET,60.7,1.97,1.52,1.3,346,44.68,0.7497387173396675,2.2800000000000002,1.576
BAM,TH,QUALITY,60.7,1.89,1.45,1.3,300,44.660000000000004,0.7497387173396675,2.175,1.512
MAJOR,TH,THAI_MARKET,58.3,1.56,1.15,1.36,391,44.54,0.7533301662707839,1.7249999999999999,1.2480000000000002
TCAP,TH,THAI_MARKET,59.9,1.28,0.98,1.3,287,44.06,0.7398574821852731,1.47,1.024
